idiom,pinyin,explanation,originate,example,pyorder,frequency
目瞪口呆,mù  dèng  kǒu  dāi,形容因吃惊或害怕而发愣的样子。,元·无名氏《赚蒯通》第一折：“吓得项王目瞪口呆，动弹不得。”,,mdkd,4603
雷厉风行,léi  lì  fēng  xíng,象雷那样猛烈，象风那样快。比喻执行政策法令严厉迅速。也形容办事声势猛烈，行动迅速。,唐·韩愈《潮州刺史谢上表》：“陛下即位以来，躬亲听断，旋乾转坤；关机阖开，雷厉风行。”,今天调卷，明天提人，颇觉～。（清·李宝嘉《官场现形记》第三十三回）,llfx,4591
三三两两,sān  sān  liǎng  liǎng,三个两个地在一起。形容人数不多。,宋·郭茂倩《乐府诗集》卷四十七引晋人《娇女》诗：“鱼行不独自，三三两两俱。”宋·辛弃疾《念奴娇·双陆》词：“袖手旁观初未说，两两三三而已。”,时文林街一带已有歪戴呢帽的人～散在街上。（《闻一多全集·年谱》）,ssll,4591
风雨无阻,fēng  yǔ  wú  zǔ,不受刮风下雨的阻碍。指预先约好的事情，一定按期进行。,清·曹雪芹《红楼梦》第三十七回：“宝钗说道：‘一月只要两次就够了。拟定日期，风雨无阻。’”,明天进行足球比赛，～。,fywz,4586
江郎才尽,jiāng  láng  cái  jìn,原指江淹少有文名，晚年诗文无佳句。比喻才情减退。,《南史·江淹传》：“淹乃探怀中得五色笔一以授之。尔后为诗绝无美句，时人谓之才尽。”,不，他不能和菊子散伙。散了伙，他必感到空虚，寂寞，无聊，或者还落个～，连诗也写不出了。（老舍《四世同堂》五十五）,jlcj,4577
美轮美奂,měi  lún  měi  huàn,轮：高大；奂：众多。形容房屋高大华丽。,《礼记·檀弓下》：“晋献文子成室，晋大夫发焉。张老曰：‘美哉轮焉，美哉奂焉。’”,,mlmh,4561
货真价实,huò  zhēn  jià  shí,货物不是冒牌的，价钱也是实在的。形容实实在在，一点不假。,清·吴趼人《二十年目睹之怪现状》第五回：“但不知可有‘货真价实，童叟无欺’的字样没有？”,这件大衣～，是地地道道的名牌。,hzjs,4548
三令五申,sān  lìng  wǔ  shēn,令：命令；申：表达，说明。多次命令和告诫。,《史记·孙子吴起列传》：“约束既布，乃设铁钺，即三令五申之。”汉·张衡《东京赋》：“三令五申，示戮斩牲。”,,slws,4545
和睦相处,hé  mù  xiāng  chǔ,彼此和好地相处。,,邻里之间应当团结友爱，～。,hmxc,4538
感慨万千,gǎn  kǎi  wàn  qiān,因外界事物变化很大而引起许多感想、感触。,,,gkwq,4524
拾金不昧,shí  jīn  bù  mèi,金：原指钱财，现泛指各种贵重物品；昧：隐藏。拾到东西并不隐瞒下来据为己有。指良好的仆人道德和社会风尚。,,我们每个人都应从小养成～的好品德。,sjbm,4515
因人而异,yīn  rén  ér  yì,因人的不同而有所差异。,,然而风格和情绪、倾向之类，不但～，而且因事而异，因时而异。（鲁迅《准风月谈·难得糊涂》）,yrey,4514
一纸空文,yī  zhǐ  kōng  wén,只是写在纸上没有兑现或不能兑现的东西。,,活佛喇嘛毫无见识，一任外人播弄，徒凭袁总统～，岂即肯拱手听命，就此安静么？（蔡东藩、许廑父《民国通俗演义》第十回）,yzkw,4513
双管齐下,shuāng  guǎn  qí  xià,管：指笔。原指手握双笔同时作画。后比喻做一件事两个方面同时进行或两种方法同时使用。,宋·郭若虚《图画见闻志·故事拾遗》：“唐张璪员外画山水松石名重于世。尤于画松特出意象，能手握双管一时齐下，一为生枝，一为枯干，势凌风雨，气傲烟霞。”,如此～，就有可能克服大地主大资产阶级的投降危险并争取时局的好转前途。（毛泽东《克服投降危险，力争时局好转》）,sgqx,4511
脱口而出,tuō  kǒu  ér  chū,不经考虑，随口说出。,清·李宝嘉《文明小史》第八回：“虽然不至于通部滚瓜烂熟，大约一部之中，至少亦有一半看熟在肚里，不然怎么能够脱口而出呢？”,,tkec,4502
曾几何时,céng  jǐ  hé  shí,几何：若干、多少。才有多少时候。指没过多久。,宋·王安石《祭盛侍郎文》：“补官扬州，公得谢归。曾几何时，讣者来门。”,～，他自己去做了一个小小的官儿回来，而他又劝我去学法政了。（郭沫若《少年时代·反正前后》）,cjhs,4498
逃之夭夭,táo  zhī  yāo  yāo,本意是形容桃花茂盛艳丽。后借用“逃之夭夭”表示逃跑，是诙谐的说法。,《诗经·周南·桃夭》：“桃之夭夭，灼灼其华。”,撞人者～，众人向他投去愤怒的眼光。,tzyy,4496
心甘情愿,xīn  gān  qíng  yuàn,心里完全愿意，没有一点勉强。多指自愿做出某种牺牲。,元·关汉卿《蝴蝶梦》第三折：“他便死也我甘心情愿。”,温州不算十分穷苦的地方，也没碰着大荒年，干什么得了七个小毛钱，就～的将自己的小妹子捧给人家呢？（朱自清《温州的踪迹》）,xgqy,4490
一朝一夕,yī  zhāo  yī  xī,朝：早晨；夕：晚上。一个早晨或一个晚上。形容很短的时间。,《周易·坤》：“臣弑其君，子弑其父，非一朝一夕之故，其所由来者渐矣。”,即如今日中倭之构难，究所由来，夫岂～之故也哉！（清·严复《论世变之亟》）,yzyx,4488
倾家荡产,qīng  jiā  dàng  chǎn,倾：倒出；荡：扫除，弄光。全部家产都被弄光了。,《三国志·蜀书·董和传》：“货殖之家，侯服玉食，婚姻葬送，倾家竭产。”,匪徒们眼瞪着他们的大锅盔，～。（曲波《林海雪原》三十）,qjdc,4486
有利可图,yǒu  lì  kě  tú,图：谋取。有利益可谋求。,清·无名氏《官场维新记》第六回：“等到有利可图，可否即允照办。”,,ylkt,4485
更上一层楼,gèng  shàng  yī  céng  lóu,原意是要想看得更远，就要登得更高。后比喻使已取得的成绩再提高一步。,唐·王之涣《登鹳雀楼》诗：“欲穷千里目，更上一层楼。”,形势发展了，我们的工作也应该～。,gsyl,4478
万众一心,wàn  zhòng  yī  xīn,千万人一条心。形容团结一致。,《后汉书·朱擕传》：“万人一心，犹不可当，况十万乎！”,～，同声呼吁，力抗汉奸，唤醒政府。（蔡东藩、许廑父《民国通俗演义》第一０八回）,wzyx,4456
古色古香,gǔ  sè  gǔ  xiāng,形容器物书画等富有古雅的色彩和情调。,,你可以从明亮的窗玻璃后面看到～的字画、瓷器、铜鼎和小铜佛等等。（徐迟《真迹》）,gsgx,4454
刻骨铭心,kè  gǔ  míng  xīn,铭刻在心灵深处。形容记忆深刻，永远不忘。,唐·李白《上安州李长史书》：“深荷王公之德，铭刻心骨。”,万望太尉慈悯，救拔深陷之人，得瞻天日，～，誓图死保。（明·施耐庵《水浒全传》第八十回）,kgmx,4440
东窗事发,dōng  chuāng  shì  fā,比喻阴谋已败露。,明·田汝成《西湖游览志馀·佞倖盘荒》：“可烦传语夫人，东窗事发矣。”,我早间见那做娘的打庆奴，晚间押番归却，打发我出门，莫是“～”？（明·冯梦龙《警世通言》卷二十）,dcsf,4435
开门见山,kāi  mén  jiàn  shān,比喻说话或写文章直截了当谈本题，不拐弯抹角。,唐·刘得仁《青龙寺僧院》：“此地堪终日，开门见数峰。”,太白发句，谓之开门见山。（宋·严羽《沧浪诗话·诗评》）,kmjs,4425
蒸蒸日上,zhēng  zhēng  rì  shàng,蒸蒸：一升、兴盛的样子。形容事业一天天向上发展。,,我们伟大的祖国生机勃勃，～。,zzrs,4423
艰苦卓绝,jiān  kǔ  zhuó  jué,坚忍刻苦的精神超过寻常。,《宋史·邵雍传》：“始为学，即坚苦刻厉，寒不炉，暑不扇，夜不席者数年。”,用儒家之道德，故艰苦卓厉者绝无，而冒没奔竞者皆是。（章炳麟《诸子学略说》）,jkzj,4416
承上启下,chéng  shàng  qǐ  xià,承接上面的，引起下面的。多用在写文章方面。,宋·张炎《词源·制曲》：“思量头如何起，尾如何结，方始选韵，而后述曲，最是过片不要断了曲意，须要承上启下。”,这两段文字中应有几句～的话。,csqx,4410
风起云涌,fēng  qǐ  yún  yǒng,大风刮起，乌云涌现。比喻新事物相继兴起，声势很盛。,宋·苏轼《后赤壁赋》：“划然长啸，草木震动，山鸣谷应，风起水涌。”,在二十世纪的今天，科技革命～。,fqyy,4406
振奋人心,zhèn  fèn  rén  xīn,振奋：振作奋发。使人们振作奋发。,,啊，火把，这饱经革命风暴的胶东老根据地的乡亲们手中高举的火把，是那么炽热，那么明亮，那么～。（峻青《火把赞》）,zfrx,4406
乱七八糟,luàn  qī  bā  zāo,形容无秩序，无条理，乱得不成样子。,清·曾朴《孽海花》第五回：“你看屋里的图书字画，家伙器皿，布置得清雅整洁，不象公坊以前乱七八糟的样子了，这是霞郎的成绩。”,这间屋子很长时间没住人了，里面的东西摆放得～。,lqbz,4404
浑身解数,hún  shēn  xiè  shù,浑身：全身，指所有的；解数：那套数，指武艺。所有的本领，全部的权术手腕。,明·吴承恩《西游记》第七十三回：“浑身解数如花锦，双手腾那似辘轳。”,,hsxs,4403
一意孤行,yī  yì  gū  xíng,指不接受别人的劝告，顽固地按照自己的主观想法去做。,《史记·酷吏列传》：“公卿相造请禹，禹终不报谢，务在绝知友宾客之请，孤立行一意而已。”,皇上和杨文弱、高起潜虽有意与虏议和，但迫于臣民清议，尚不敢公然～，与虏订城下之盟。（姚雪垠《李自成》第一卷第三章）,yygx,4398
大有人在,dà  yǒu  rén  zài,形容某一种人为数不少。,《资治通鉴·隋纪炀帝大业十一年》：“帝至东都，顾眄街衢，谓侍臣曰：‘犹大有人在。’意谓向日平杨玄感，杀人尚少故也。”,出面的虽是章士钊，其实黑幕中～。（《鲁迅书信集·致李秉中》）,dyrz,4393
水土不服,shuǐ  tǔ  bù  fú,对于一个地方的气候条件或饮食习惯不能适应。,,,stbf,4382
绝无仅有,jué  wú  jǐn  yǒu,只有一个，再没有别的。形容非常少有。,宋·苏轼《上皇帝书》：“改过不吝，从善如流，此尧舜禹汤之所勉强而力行，秦汉以来之所绝无而仅有。”,新的一辈继他们的父亲或者母亲之后成为作家的，可以说～。（秦牧《两代人》）,jwjy,4381
奄奄一息,yǎn  yǎn  yī  xī,奄奄：呼吸微弱的样子。只剩下一口气。形容临近死亡。,明·冯梦龙《东周列国志》第八十七回：“惠王亲往问疾，见痤病势已重，奄奄一息。”,他已被打得体无完肤，～了。,yyyx,4374
生生不息,shēng  shēng  bù  xī,不断地生长、繁殖。,,,ssbx,4370
迫不得已,pò  bù  dé  yǐ,被逼得没有办法，不得不这样。,《汉书·王莽传上》：“迫不得已然后受诏。”,他这样做，完全是～。,pbdy,4355
独善其身,dú  shàn  qí  shēn,独：唯独；善：好，维护。原意是做不上官就修养好自身。现指只顾自己，不管别人。,《孟子·尽心上》：“穷则独善其身，达则兼善天下。”,～尽日安，何须千古名不朽。（明·罗贯中《三国演义》第三十七回）,dsqs,4353
恰到好处,qià  dào  hǎo  chù,指说话做事恰好到了最合适的地步。,,只是平心静气的说，紧要关头却不放松一步；真所谓～。（朱自清《经典常谈·春秋三传第六》）,qdhc,4347
一触即发,yī  chù  jí  fā,触：碰；即：就。原指把箭扣在弦上，拉开弓等着射出去。比喻事态发展到了十分紧张的阶段，稍一触动就立即会爆发。,,共产党主张成立联合政府，就为罅内战。现在蒋介石拒绝了这个主张，致使内战有～之势。（毛泽东《评蒋介石发言人的谈话》）,ycjf,4336
说三道四,shuō  sān  dào  sì,形容不负现任地胡乱议论。,清·崔灏《通俗编·言笑》：“莫学他人不知朝暮，走启蒙乡村，说三道四。”,有的人工作不努力，别人有了成绩，却整天～。,ssds,4327
不胜枚举,bù  shèng  méi  jǔ,胜：尽；枚：个。不能一个个地列举出来。形容数量很多。,,祖国风光秀丽，名胜古迹～。,bsmj,4325
各抒己见,gè  shū  jǐ  jiàn,抒：抒发，发表。各人充分发表自己的意见。,清·李汝珍《镜花缘》第七十四回：“据我主意，何不各抒己见，出个式子，岂不新鲜些？”,讨论会上，大家～，气氛热烈。,gsjj,4325
意味深长,yì  wèi  shēn  cháng,意味：情调，趣味。意思含畜深远，耐人寻味。,宋·程颢、程颐《河南程氏遗书》：“读之愈久，但觉意味深长。”,书中所述的人生哲理，～。（朱自清《经典常谈·四书第七》）,ywsc,4324
聪明才智,cōnɡ  mínɡ  cái  zhì,指人的智慧和才能。,北齐·颜之推《颜氏家训·治家》：“如有聪明才智，识达古今，正当辅佐君子，助其不足”,,cmcz,4323
生死存亡,shēng  sǐ  cún  wáng,生存或者死亡。形容局势或斗争的的发展已到最后关头。,《左传·定公十五年》：“夫礼，死生存亡之体也。”,亲承懿旨到西宫，～掌握中。（元·无名氏《抱妆盒》第二折）,sscw,4317
蠢蠢欲动,chǔn  chǔn  yù dòng,蠢蠢：爬虫蠕动的样子。比喻敌人准备进攻或坏人阴谋捣乱。,南朝·宋·刘敬叔《异苑·句容水脉》：“掘得一黑物，无有首尾，形如数百斛舡，长数十丈，蠢蠢而动。”,据点里的敌人又～。（峻青《爆炸远征队》）,ccyd,4304
摇摇欲坠,yáo  yáo  yù  zhuì,摇摇：摇动，摇晃；坠：落下。形容十分危险，很快就要掉下来，或不稳固，很快就要垮台。,明·罗贯中《三国演义》第一百零四回：“众视之，见其色昏暗，摇摇欲坠。”,战士们靠近边缘向下一看，头晕目眩，觉得眼前的大岩来回晃动，自己的身体～。（曲波《林海雪原》二七）,yyyz,4294
世外桃源,shì  wài  táo  yuán,原指与现实社会隔绝、生活安乐的理想境界。后也指环境幽静生活安逸的地方。借指一种空想的脱离现实斗争的美好世界。,晋·陶潜《桃花园记》描述的一个与世隔绝，没有遭到祸乱的美好地方。,在这儿，在这～的仙境中，有了人世喧嚣的声音。（杨沫《青春之歌》第一部第三章）,swty,4290
滔滔不绝,tāo  tāo  bù  jué,滔滔：形容流水不断。象流水那样毫不间断。指话很多，说起来没个完。,五代后周·王仁裕《开元天宝遗事·走丸之辩》：“张九龄善谈论，每与宾客议论经旨，滔滔不竭，如下阪走丸也。”,斡离不得汪豹献了李刘隘口，无人阻当，～，把十万大兵尽数渡了黄河。（清·陈忱《水浒后传》第二十回）,ttbj,4284
欣欣向荣,xīn  xīn  xiàng  róng,欣欣：形容草木生长旺盛；荣：茂盛。形容草木长得茂盛。比喻事业蓬勃发展，兴旺昌盛。,晋·陶潜《归去来辞》：“木欣欣以向荣，泉涓涓而始流。”,在其间～的，只有鲜花和绿草，这是比喻对于将来的希望。（叶圣陶《搭班子》）,xxxr,4277
添砖加瓦,tiān  zhuān  jiē  wǎ,比喻做一些工作，尽一点力量。,,我们要学好本领，将来为祖国建设～。,tzjw,4271
有朝一日,yǒu  zhāo  yī  rì,将来有那么一天。,元·无名氏《博望烧屯》第一折：“有朝一日，我出矛庐指点世人迷，凭着我剑挥星斗，我志逐风雷。”,,yzyr,4264
指日可待,zhǐ  rì  kě  dài,指日：可以指出日期，为期不远；待：期待。为期不远，不久就可以实现。,清·钱彩《说岳全传》第三十一回：“是以我主上神佑，泥马渡江，正位金陵，用贤任能，中兴指日可待。”,,zrkd,4262
每况愈下,měi  kuàng  yù  xià,越往下越明显。表示情况越来越坏。,《庄子·知北游》：“夫子之问也，固不及质，正获之问于监市履希也，每下愈况。”,下品中的魏武帝，更真是～：“曹公古直，甚有悲凉之句”，仅仅这样的十个字而已。（郭沫若《论曹植》）,mkyx,4259
精打细算,jīng  dǎ  xì  suàn,打：规划。精密地计划，详细地计算。指在使用人力物力时计算得很精细。,,再看红英自己，那是连半个钟头的工都不肯耽误的，也从没见她吃过一口零食，一看就知道是个会～、会过日子的人。（茹志鹃《妯娌》,jdxs,4250
真知灼见,zhēn  zhī  zhuó  jiàn,灼：明白，透彻。正确而透彻的见解。,明·冯梦龙《警世通言》卷三：“真知灼见者，尚且有误，何况其他！”,两家之学皆深入宋儒之室，但以汉学为不可废耳，多倚墙之见，依违之言，岂～者哉！（江藩《汉学师承记·顾炎武》）,zzzj,4249
遥遥无期,yáo  yáo  wú  qī,形容时间还远得很，不知道哪一天。,,这件事我不能～地等下去，希望能尽快给以解决。,yywq,4244
代代相传,dài  dài  xiāng  chuán,一代接一代地相继传下去。,,我们一定要将林州人民战天斗地、艰苦创业的“红旗渠精神”～。,ddxc,4237
勇往直前,yǒng  wǎng  zhí  qián,勇敢地一直向前进。,宋·朱熹《朱子全书·道统一·周子书》：“不顾旁人是非，不计自己得失，勇往直前，说出人不敢说的道理。”,人人惧摩拳擦掌，个个～。（明·许仲琳《封神演义》第七十三回）,ywzq,4231
朝气蓬勃,zhāo  qì  péng  bó,朝气：早上的空气，引伸为新生向上，努力进取的气象；蓬勃：旺盛的样子。形容充满了生命和活力。,,青年人富有理想，～，是祖国的未来。,zqpb,4223
见怪不怪,jiàn  guài  bù  guài,看到怪异的现象不要大惊小怪。指遇到不常见的事物或意外情况，要沉着镇静。,宋·洪迈《夷坚三志己》卷二：“畜生之言何足为信？我已数月来知之矣。见怪不怪，其怪自坏。”,“～，其怪自败。”不用砍他，随他去就是了。（清·曹雪芹《红楼梦》第九十四回）,jgbg,4218
一劳永逸,yī  láo  yǒng  yì,逸：安逸。辛苦一次，把事情办好，以后就可以不再费力了。,汉·班固《封燕然山铭》：“兹可谓一劳而久逸，暂费而永无宁者也。”,“～”的话，有是有的，而“～”的事却极少。（鲁迅《花边文学·再论重译》）,ylyy,4218
目不暇接,mù  bù  xiá  jiē,指东西多，眼睛都看不过来。,南朝宋·刘义庆《世说新语·言语》：“从山阴道上行，山川自相映发，使人应接不暇。”,一切艺术的道理也是这样，单一必然导致枯燥。而丰富多采、～则是绝大多数人所欢迎的。（秦牧《菊花与金鱼》）,mbxj,4217
脍炙人口,kuài  zhì  rén  kǒu,脍和炙都是人们爱吃的食物。指美味人人爱吃。比喻好的诗文受到人们和称赞和传讼。,五代·王定宝《唐摭言·海叙不遇》：“如‘水声常在耳，山色不离门’，又‘扫地树留影，拂床琴有声’……皆脍炙人口。”,一部～的《国风》与《小雅》，也是“三百篇”的最精采部分，便是诗歌合作中最美满的成绩。（闻一多《歌与诗》）,kzrk,4207
牵一发而动全身,qiān  yī  fà  ér  dòng  quán  shēn,比喻动极小的部分就会影响全局。,清·龚自珍《自春徂秋偶有所感触》诗：“一发不可牵，牵之动全身。”,,qyfs,4185
无所事事,wú  suǒ  shì  shì,事事：前一“事”为动词，做；后一“事”为名词，事情。闲着什么事都不干。,,上承总统指挥，下受委员成议，镇（整）日间～，反象似赘瘤一般。（蔡东藩、许廑父《民国通俗演义》第一五回）,wsss,4172
甚嚣尘上,shèn  xiāo  chén  shàng,甚：很；嚣：喧嚷。人声喧嚷，尘土飞扬。原形容军中正忙于准备的状态。后来形容消息普遍淬，议论纷纷。现多指反动言论十分嚣张。,《左传·成公十六年》：“王曰：‘合谋也，张幕矣。’（伯州犁）曰：‘虔卜於先君也，徹幕矣。’（楚王）曰：‘将发命也。甚嚣，且尘上矣。’”,虽已电令燮元代理督军，同时苏人争请废督，～。（蔡东藩、许廑父《民国通俗演义》第一百二十二回）,sxcs,4166
时不我待,shí  bù  wǒ  dài,我待：“待我”的倒装，等待我。时间不会等待我们。指要抓紧时间。,《论语·阳货》：“日月逝矣，岁不我与。”,这项任务十分紧迫，～。,sbwd,4164
打成一片,dǎ  chéng  yī  piàn,形容感情融洽，成为一体。,宋·释普济《五灯会元》卷十五：“老僧四十年方打成一片。”,扬弃知识阶级的绅士身分，提高大众的鉴赏水准，这样～，平民化，大众化。（朱自清《论通俗化》）,dcyp,4161
一成不变,yī  chéng  bù  biàn,成：制定，形成。一经形成，不再改变。,《礼记·王制》：“一成而不可变，故君子尽心焉。”,事物都是在发展的，世界上没有～的东西。,ycbb,4161
怀恨在心,huái  hèn  zài  xīn,把怨恨藏在心里。形容对人记下仇恨，以伺机报复。,明·冯梦龙《警世通言》第二十四回：“知县听玉姐说了一会，叫：‘皮氏，想你见那男子弃旧迎新，你怀恨在心，药死亲夫，此情理或有之。’”,,hhzx,4156
总而言之,zǒng  ér  yán  zhī,总的说起来。,《容斋随笔·卷六·洗儿金钱》：“若总而言之，殆不可胜算。”,～，长征是以我们胜利、敌人失败的结果而千结束。（《毛泽东选集·论反对帝国主义的策略》）,zeyz,4145
不务正业,bù  wù  zhèng  yè,务：从事。指丢下本职工作不做，去搞其他的事情。,,在那时候他们是被骂为～的青年，但没人知道当时的社会已无青年们可务的正业。（郭沫若《少年时代·我的童年》）,bwzy,4132
别具一格,bié  jù  yī  gé,别：另外。另有一种独特的风格。,清·吕留良《与施愚山书》：“咏见赠诗，风力又别具一格。”,这个画家的人物画拙中见巧，～。,bjyg,4121
治病救人,zhì  bìng  jiù  rén,治好病把人挽救过来。比喻帮助犯错误的人改正错误。,,对犯有错误的同学，我们应采取～的态度，帮助他们进步。,zbjr,4105
岌岌可危,jí  jí  kě  wēi,岌岌：山高陡峭，就要倒下的样子。形容非常危险，快要倾覆或灭亡。,《孟子·万章下》：“天下殆哉，岌岌乎！”,这座建筑物年久失修，已经～了。,jjkw,4089
丰功伟绩,fēng  gōng  wěi  jì,丰：大。伟大的功绩。,清·张春帆《宦海》第六回：“这位章制军在两广做了几年，也没有什么丰功伟绩。”,纪念他在辛亥革命时期，领导人民推翻帝制、建立共和国的～。（毛泽东《纪念孙中山先生》）,fgwj,4087
他山之石,tā  shān  zhī  shí,比喻能帮助自己改正缺点的人或意见。,《诗经·小雅·鹤鸣》：“他山之石，可以为错。”,,tszs,4080
避重就轻,bì  zhòng  jiù  qīng,指回避重的责任，只拣轻的来承担。也指回避要点，只谈无关紧要的事情。,宋·刘挚《侍御史黄君墓志铭》：“民始不以多男为患，父子始不以避重就轻相去。”,年轻人应勇于挑重担，而不应～。,bzjq,4069
按部就班,àn  bù jiù  bān,部、班：门类，次序；就：归于。按照一定的步骤、顺序进行。也指按老规矩办事，缺乏创新精神。,晋·陆机《文赋》：“然后选义案部，考辞就班。”,但黄公俊的祖父，他开始读了书，象一般读书人似的，他～的要将八股型的才学，“货与帝王家”。（郑振铎《黄公俊之最后》）,abjb,4063
急转直下,jí  zhuǎn  zhí  xià,形容形势或文笔等突然转变，并且很快地顺势发展下去。,,由于迅速而顺利地取得了辽沈战役的胜利，就使全国战局～，使原来预计的战争进程大为缩短。（叶剑英《伟大的战略决战》）,jzzx,4058
一举两得,yī  jǔ  liǎng  dé,做一件事得到两方面的好处。,《晋书·束皙传》：“赐其十年炎复，以慰重迁之情，一举两得，外实内宽。”,一则免楚之患，二则激晋之来，岂非～？（明·冯梦龙《东周列国志》第六十一回）,yjld,4054
兴高采烈,xìng  gāo  cǎi  liè,兴：原指志趣，后指兴致；采：原指神采，后指精神；烈：旺盛。原指文章志趣高尚，言词犀利。后多形容兴致高，精神饱满。,南朝梁·刘勰《文心雕龙·体性》：“步夜俊侠，故兴高而采烈。”,阿二忽然对于曾沧海的威吓全没怕惧，反而～的说起来了。（茅盾《子夜》四）,xgcl,4052
同心协力,tóng  xīn  xié  lì,心：思想；协：合。团结一致，共同努力。,汉·贾谊《过秦论》：“且天下尝同心并力攻秦矣，然困于险阻而不能进者，岂勇力智慧不足哉？”《周书·崔谦传》：“然后与宇文行台，同心协力，电讨不庭，则桓文之勋，复兴于兹日矣。”,只要我们大家～，就没有克服不了的困难。,txxl,4045
侃侃而谈,kǎn  kǎn  ér  tán,理直气壮、从容不迫地说话。,《论语·乡党》：“朝，与下大夫言，侃侃如也。”,却从来不曾见过象这位蛮子般的那末～，旁若无人的气概。（郑振铎《桂公塘·三》）,kket,4035
恼羞成怒,nǎo  xiū  chéng  nù,由于羞愧到了极点，下不了台而发怒。,清·李宝嘉《官场现形记》第三十一回：“乌额拉布见田小辫子说出这样的话来，便也恼羞成怒。”,,nxcn,4018
天壤之别,tiān  rǎng  zhī  bié,壤：地。天和地，一极在上，一级在下，比喻差别极大。,《抱朴子·内篇·论仙》：“趋舍所尚，耳目之欲，其为不同，已有天壤之觉（较），冰炭之乖矣。”,按照一般人的生理机能来说，聪明与不聪明虽有差别，但并不存在～。,trzb,4017
咄咄逼人,duō  duō  bī  rén,咄咄：使人惊奇的声音。形容气势汹汹，盛气凌人，使人难堪。也指形势发展迅速，给人压力。,晋·卫铄《与释某书》：“卫有一弟子王逸少，甚能学卫真书，咄咄逼人。”,书中攻击杨朱、墨翟两派，辞锋～。（朱自清《经典常谈·四书第七》）,ddbr,4016
千篇一律,qiān  piān  yī  lǜ,一千篇文章都一个样。指文章公式化。也比喻办事按一个格式，非常机械。,南朝梁·钟嵘《诗品》卷中：“张公虽复千篇，犹一体耳。”宋·苏轼《答王庠书》：“今程试文字，千人一律，考官亦厌之。”,她又开始说起～的恳求的话语来了。（沙汀《磁力》）,qpyl,4011
寸步难行,cùn  bù  nán  xíng,形容走路困难。也比喻处境艰难。,唐·杜甫《九日寄岑参》：“出门复入门，雨脚但如旧。所向泥活活，思君令人瘦……寸步曲江头，难为一相就。”,美娘赤了脚，～。（明·冯梦龙《醒世恒言》卷三）,cbnx,4007
嘘寒问暖,xū  hán  wèn  nuǎn,嘘寒：呵出热气使寒冷的人感到温暖；问暖：指问寒问暖。形容对人的生活十分关切。,,,xhwn,4004
不失时机,bù  shī  shí  jī,失：耽误，错过。时机：具有时间性的机会。不错过当前的机会。指办事要抓住适宜的时间和有利的机会。,,这时离国共分裂还有两个月，如果……努力去做，还～。（周恩来《关于党的“六大”的研究》）,bssj,3999
直截了当,zhí  jié  liǎo  dàng,形容说话做事爽快、干脆。,清·李汝珍《镜花缘》第六十五回：“紫芝妹妹嘴虽利害，好在心口如一，直截了当，倒是一个极爽快的。”,他说话、办事～，认真干脆。,zjld,3997
白手起家,bái  shǒu  qǐ jiā,白手：空手；起家：创建家业。形容在没有基础和条件很差的情况下自力更生，艰苦创业。,《朱子语类》卷一０七：“今士大夫白屋起家，以致荣显。”,你看，他发了多少财，～，靠的是谁？如今也忘了水源头了，墙上的草，两边倒着呢。（丁玲《太阳照在桑干河上》）,bsqj,3989
人去楼空,rén  qù  lóu  kōng,人已离去，楼中空空。比喻故地重游时睹物思人的感慨。,唐·崔颢《黄鹤楼》诗：“昔人已乘黄鹤去，此地空余黄鹤楼。”,,rqlk,3979
置若罔闻,zhì  ruò  wǎng  wén,置：放，摆；若：好象。放在一边，好象没有听见似的。指不予理睬。,,宁荣两府上下内外人等，莫不～，独有宝玉～。（清·曹雪芹《红楼梦》第十六回）,zrww,3978
瞠目结舌,chēng  mù  jié  shé,瞪：瞪着眼；结舌：说不出话来。瞪着眼睛说不出话来。形容窘困或惊呆的样子。,清·霁园主人《夜谭随录·梨花》：“因耳语其故，公子大骇，入舱隐叩细君，细君结舌瞠目。”,他问每个同学的时候，别的同学也不得不倾耳静听，注意前后情节的线索，否则突然问到，便不免～，不知所答。（邹韬奋《经历》）,cmjs,3969
长途跋涉,cháng  tú  bá  shè,跋涉：翻山越岭、趟水过河。指远距离的翻山渡水。形容路途遥远，行路辛苦。,,岳夫人道：“……怎敢劳姐～，决难从命。”（清·钱彩《说岳全传》第六十六回）,ctbs,3962
群策群力,qún  cè  qún  lì,群：大家，集体；策：谋划，主意。指发挥集体的作用，大家一起来想办法，贡献力量。,汉·扬雄《法言·重黎》：“汉屈群策，群策屈群力。”,至于自强之道，求其在我，祸福无门，唯人自召。～，庶有成功。（蔡东藩、许廑父《民国通俗演义》第四十四回）,qcql,3953
前车之鉴,qián  chē  zhī  jiàn,鉴：镜子，为教训。前面车子翻倒的教训。比喻先前的失败，可以做为以后的教训。,《荀子·成相》：“前车已覆，后未知更何觉时！”汉·刘向《说苑·善说》：“前车覆，后车戒。”,～，请自三思。（清·陈忱《水浒后传》第二十五回）,qczj,3952
一拥而上,yī  yōng  ér  shàng,形容周围的人同时向一个目标猛挤过去。,,,yyes,3951
违法乱纪,wéi  fǎ  luàn  jì,违犯法令，破坏纲纪。,,,wflj,3949
大政方针,dà  zhèng  fāng  zhēn,重大的政策与措施，引导事业前进的方向和指针。,,颇欲展施抱负，造成一法治国，所以一经就任，便草就～宣言书，拟向国会宣布。（蔡东藩、许廑父《民国通俗演义》第三十八回）,dzfz,3947
